id,question,choices,answer,A,B,C,D,answer_pred,correct
061,Chất lượng môi trường đất bị suy thoái do nguyên nhân nào?,"{'A': 'Xói mòn, rửa trôi', 'B': 'Nhiễm mặn, nhiễm phèn', 'C': 'Ô nhiễm do hóa chất, chất thải công nghiệp', 'D': 'Tất cả các đáp án trên'}",D,"Xói mòn, rửa trôi","Nhiễm mặn, nhiễm phèn","Ô nhiễm do hóa chất, chất thải công nghiệp",Tất cả các đáp án trên,C,0
062,Năng lượng sinh khối (biomass) là năng lượng có nguồn gốc từ đâu?,"{'A': 'Các vật liệu hữu cơ như thực vật, gỗ, chất thải nông nghiệp, rác thải hữu cơ. [33]', 'B': 'Phản ứng hạt nhân', 'C': 'Nhiên liệu hóa thạch', 'D': 'Năng lượng mặt trời'}",A,"Các vật liệu hữu cơ như thực vật, gỗ, chất thải nông nghiệp, rác thải hữu cơ. [33]",Phản ứng hạt nhân,Nhiên liệu hóa thạch,Năng lượng mặt trời,D,0
063,Đâu không phải là một trong 17 Mục tiêu Phát triển Bền vững (SDGs) của Liên Hợp Quốc?,"{'A': 'Xóa đói', 'B': 'Bình đẳng giới', 'C': 'Hành động về khí hậu', 'D': 'Khám phá các hành tinh mới'}",D,Xóa đói,Bình đẳng giới,Hành động về khí hậu,Khám phá các hành tinh mới,D,1
064,Thế nào là một loài xâm lấn (invasive species)?,"{'A': 'Là một loài bản địa có số lượng lớn', 'B': 'Là một loài du nhập, phát triển quá mức và gây hại cho môi trường, kinh tế hoặc sức khỏe con người ở nơi nó được đưa đến.', 'C': 'Là một loài có nguy cơ tuyệt chủng', 'D': 'Là một loài được nuôi trồng trong nông nghiệp'}",B,Là một loài bản địa có số lượng lớn,"Là một loài du nhập, phát triển quá mức và gây hại cho môi trường, kinh tế hoặc sức khỏe con người ở nơi nó được đưa đến.",Là một loài có nguy cơ tuyệt chủng,Là một loài được nuôi trồng trong nông nghiệp,A,0
065,"Nguyên tắc ""người gây ô nhiễm phải trả tiền"" có nghĩa là gì?","{'A': 'Bất kỳ ai cũng phải trả tiền để bảo vệ môi trường', 'B': 'Tổ chức, cá nhân gây ra ô nhiễm môi trường phải có trách nhiệm chi trả cho việc xử lý, khắc phục hậu quả và bồi thường thiệt hại.', 'C': 'Chỉ có chính phủ mới phải chịu trách nhiệm về ô nhiễm', 'D': 'Người dân phải trả tiền cho các công ty gây ô nhiễm'}",B,Bất kỳ ai cũng phải trả tiền để bảo vệ môi trường,"Tổ chức, cá nhân gây ra ô nhiễm môi trường phải có trách nhiệm chi trả cho việc xử lý, khắc phục hậu quả và bồi thường thiệt hại.",Chỉ có chính phủ mới phải chịu trách nhiệm về ô nhiễm,Người dân phải trả tiền cho các công ty gây ô nhiễm,D,0
066,"Sương mù quang hóa, thường xuất hiện ở các thành phố lớn, được hình thành do đâu?","{'A': 'Sự kết hợp của hơi nước và bụi', 'B': 'Phản ứng hóa học giữa các oxit nitơ (NOx), các hợp chất hữu cơ dễ bay hơi (VOCs) dưới tác động của ánh sáng mặt trời.', 'C': 'Nhiệt độ không khí giảm đột ngột', 'D': 'Sự phun trào của núi lửa'}",B,Sự kết hợp của hơi nước và bụi,"Phản ứng hóa học giữa các oxit nitơ (NOx), các hợp chất hữu cơ dễ bay hơi (VOCs) dưới tác động của ánh sáng mặt trời.",Nhiệt độ không khí giảm đột ngột,Sự phun trào của núi lửa,D,0
067,Việc sử dụng các sản phẩm thân thiện với môi trường có lợi ích gì?,"{'A': 'Giảm thiểu tác động tiêu cực đến môi trường', 'B': 'Thường được làm từ vật liệu tái chế hoặc bền vững', 'C': 'An toàn hơn cho sức khỏe người tiêu dùng', 'D': 'Tất cả các đáp án trên'}",D,Giảm thiểu tác động tiêu cực đến môi trường,Thường được làm từ vật liệu tái chế hoặc bền vững,An toàn hơn cho sức khỏe người tiêu dùng,Tất cả các đáp án trên,C,0
068,Vai trò của vi sinh vật trong chu trình vật chất của hệ sinh thái là gì?,"{'A': 'Sản xuất chất hữu cơ', 'B': 'Tiêu thụ sinh vật sản xuất', 'C': 'Phân giải xác chết và chất thải của sinh vật, trả lại các chất vô cơ cho môi trường. [12]', 'D': 'Không có vai trò gì'}",C,Sản xuất chất hữu cơ,Tiêu thụ sinh vật sản xuất,"Phân giải xác chết và chất thải của sinh vật, trả lại các chất vô cơ cho môi trường. [12]",Không có vai trò gì,C,1
069,Hiện tượng băng tan ở hai cực do biến đổi khí hậu gây ra hệ quả trực tiếp nào?,"{'A': 'Làm mực nước biển dâng lên, đe dọa các vùng ven biển. [35]', 'B': 'Làm tăng diện tích đất liền', 'C': 'Làm giảm nhiệt độ toàn cầu', 'D': 'Không gây ra hệ quả nào đáng kể'}",A,"Làm mực nước biển dâng lên, đe dọa các vùng ven biển. [35]",Làm tăng diện tích đất liền,Làm giảm nhiệt độ toàn cầu,Không gây ra hệ quả nào đáng kể,D,0
070,BOD (Biochemical Oxygen Demand) là chỉ số dùng để đánh giá mức độ ô nhiễm của loại môi trường nào?,"{'A': 'Không khí', 'B': 'Đất', 'C': 'Nước (đánh giá lượng oxy cần thiết để vi sinh vật phân hủy chất hữu cơ). [44]', 'D': 'Tiếng ồn'}",C,Không khí,Đất,Nước (đánh giá lượng oxy cần thiết để vi sinh vật phân hủy chất hữu cơ). [44],Tiếng ồn,C,1
071,"Để bảo vệ tài nguyên rừng, biện pháp nào là quan trọng nhất?","{'A': 'Khai thác triệt để để lấy gỗ', 'B': 'Ngăn chặn nạn phá rừng, phòng chống cháy rừng và trồng lại rừng. [22]', 'C': 'Chuyển đổi đất rừng thành đất nông nghiệp', 'D': 'Xây dựng nhiều công trình trong rừng'}",B,Khai thác triệt để để lấy gỗ,"Ngăn chặn nạn phá rừng, phòng chống cháy rừng và trồng lại rừng. [22]",Chuyển đổi đất rừng thành đất nông nghiệp,Xây dựng nhiều công trình trong rừng,D,0
072,"""Tín chỉ carbon"" là một công cụ dựa trên thị trường nhằm mục đích gì?","{'A': 'Khuyến khích phát thải khí nhà kính', 'B': 'Giảm phát thải khí nhà kính bằng cách tạo ra một thị trường mua bán quyền phát thải.', 'C': 'Đo lường lượng carbon trong đất', 'D': 'Cung cấp carbon cho các nhà máy'}",B,Khuyến khích phát thải khí nhà kính,Giảm phát thải khí nhà kính bằng cách tạo ra một thị trường mua bán quyền phát thải.,Đo lường lượng carbon trong đất,Cung cấp carbon cho các nhà máy,C,0
073,Khu vực nào trên Trái Đất có đa dạng sinh học cao nhất?,"{'A': 'Các vùng cực', 'B': 'Các sa mạc', 'C': 'Các rừng mưa nhiệt đới. [16]', 'D': 'Các vùng ôn đới'}",C,Các vùng cực,Các sa mạc,Các rừng mưa nhiệt đới. [16],Các vùng ôn đới,D,0
074,Chất độc màu da cam/dioxin là một ví dụ về loại ô nhiễm nào?,"{'A': 'Ô nhiễm sinh học', 'B': 'Ô nhiễm hóa học tồn lưu, gây ảnh hưởng lâu dài đến môi trường và sức khỏe con người. [1]', 'C': 'Ô nhiễm vật lý', 'D': 'Ô nhiễm phóng xạ'}",B,Ô nhiễm sinh học,"Ô nhiễm hóa học tồn lưu, gây ảnh hưởng lâu dài đến môi trường và sức khỏe con người. [1]",Ô nhiễm vật lý,Ô nhiễm phóng xạ,B,1
075,Nguồn nước nào sau đây là nguồn nước ngọt chủ yếu mà con người sử dụng?,"{'A': 'Nước biển và đại dương', 'B': 'Nước từ các sông, hồ và nước ngầm. [31]', 'C': 'Nước từ băng tan ở hai cực', 'D': 'Nước mưa'}",B,Nước biển và đại dương,"Nước từ các sông, hồ và nước ngầm. [31]",Nước từ băng tan ở hai cực,Nước mưa,A,0
076,Hành vi nào sau đây vi phạm Luật Bảo vệ môi trường?,"{'A': 'Phân loại rác tại nguồn', 'B': 'Thải chất thải chưa qua xử lý ra môi trường. [32]', 'C': 'Sử dụng tiết kiệm tài nguyên', 'D': 'Tham gia các hoạt động dọn dẹp vệ sinh'}",B,Phân loại rác tại nguồn,Thải chất thải chưa qua xử lý ra môi trường. [32],Sử dụng tiết kiệm tài nguyên,Tham gia các hoạt động dọn dẹp vệ sinh,B,1
077,Đâu là ưu điểm của năng lượng gió?,"{'A': 'Là nguồn năng lượng sạch, không gây ô nhiễm không khí. [23]', 'B': 'Phụ thuộc vào thời tiết', 'C': 'Gây tiếng ồn', 'D': 'Chi phí đầu tư ban đầu cao'}",A,"Là nguồn năng lượng sạch, không gây ô nhiễm không khí. [23]",Phụ thuộc vào thời tiết,Gây tiếng ồn,Chi phí đầu tư ban đầu cao,A,1
078,"Trong một hệ sinh thái, dòng năng lượng diễn ra theo một chiều từ:","{'A': 'Sinh vật tiêu thụ → Sinh vật sản xuất → Sinh vật phân giải', 'B': 'Sinh vật sản xuất → Sinh vật tiêu thụ → Sinh vật phân giải', 'C': 'Sinh vật phân giải → Sinh vật tiêu thụ → Sinh vật sản xuất', 'D': 'Đi theo một vòng tuần hoàn khép kín'}",B,Sinh vật tiêu thụ → Sinh vật sản xuất → Sinh vật phân giải,Sinh vật sản xuất → Sinh vật tiêu thụ → Sinh vật phân giải,Sinh vật phân giải → Sinh vật tiêu thụ → Sinh vật sản xuất,Đi theo một vòng tuần hoàn khép kín,D,0
079,Lối sống xanh (green living) khuyến khích điều gì?,"{'A': 'Tiêu thụ nhiều hơn', 'B': 'Lựa chọn và thực hành các hành vi tiêu dùng bền vững, giảm thiểu tác động đến môi trường.', 'C': 'Sử dụng các sản phẩm dùng một lần', 'D': 'Không quan tâm đến nguồn gốc sản phẩm'}",B,Tiêu thụ nhiều hơn,"Lựa chọn và thực hành các hành vi tiêu dùng bền vững, giảm thiểu tác động đến môi trường.",Sử dụng các sản phẩm dùng một lần,Không quan tâm đến nguồn gốc sản phẩm,D,0
080,Tác động của ô nhiễm ánh sáng đối với môi trường và sinh vật là gì?,"{'A': 'Làm gián đoạn chu kỳ sinh học của động vật hoang dã', 'B': 'Ảnh hưởng đến sự di cư của các loài chim', 'C': 'Lãng phí năng lượng', 'D': 'Tất cả các đáp án trên'}",D,Làm gián đoạn chu kỳ sinh học của động vật hoang dã,Ảnh hưởng đến sự di cư của các loài chim,Lãng phí năng lượng,Tất cả các đáp án trên,A,0
081,Thủy triều đỏ là hiện tượng gì?,"{'A': 'Nước biển có màu đỏ do hoàng hôn', 'B': 'Sự nở hoa của tảo biển với số lượng lớn, một số loài có thể gây độc cho sinh vật biển.', 'C': 'Một loại san hô có màu đỏ', 'D': 'Sự cố tràn hóa chất màu đỏ ra biển'}",B,Nước biển có màu đỏ do hoàng hôn,"Sự nở hoa của tảo biển với số lượng lớn, một số loài có thể gây độc cho sinh vật biển.",Một loại san hô có màu đỏ,Sự cố tràn hóa chất màu đỏ ra biển,C,0
082,Bãi chôn lấp hợp vệ sinh cần đáp ứng yêu cầu nào?,"{'A': 'Có lớp lót chống thấm để ngăn nước rỉ rác làm ô nhiễm đất và nước ngầm.', 'B': 'Không cần che phủ rác thải', 'C': 'Nằm gần khu dân cư', 'D': 'Không cần hệ thống thu gom khí gas'}",A,Có lớp lót chống thấm để ngăn nước rỉ rác làm ô nhiễm đất và nước ngầm.,Không cần che phủ rác thải,Nằm gần khu dân cư,Không cần hệ thống thu gom khí gas,B,0
083,Mục đích của việc bảo tồn đa dạng sinh học là gì?,"{'A': 'Bảo vệ các loài, các hệ sinh thái và các quá trình sinh thái', 'B': 'Duy trì các dịch vụ hệ sinh thái mà thiên nhiên cung cấp', 'C': 'Đảm bảo sự phát triển bền vững', 'D': 'Tất cả các đáp án trên'}",D,"Bảo vệ các loài, các hệ sinh thái và các quá trình sinh thái",Duy trì các dịch vụ hệ sinh thái mà thiên nhiên cung cấp,Đảm bảo sự phát triển bền vững,Tất cả các đáp án trên,A,0
084,"Năng lượng hạt nhân có ưu điểm là không phát thải khí nhà kính, nhưng nhược điểm lớn nhất là gì?","{'A': 'Chi phí nhiên liệu cao', 'B': 'Hiệu suất thấp', 'C': 'Nguy cơ xảy ra sự cố rò rỉ phóng xạ và vấn đề xử lý chất thải phóng xạ nguy hiểm.', 'D': 'Không thể sản xuất điện liên tục'}",C,Chi phí nhiên liệu cao,Hiệu suất thấp,Nguy cơ xảy ra sự cố rò rỉ phóng xạ và vấn đề xử lý chất thải phóng xạ nguy hiểm.,Không thể sản xuất điện liên tục,C,1
085,Hiện tượng El Niño là gì?,"{'A': 'Là một hiện tượng thời tiết bình thường', 'B': 'Là sự nóng lên dị thường của lớp nước biển bề mặt ở khu vực xích đạo trung và đông Thái Bình Dương, gây ra những thay đổi lớn về thời tiết toàn cầu.', 'C': 'Là sự lạnh đi dị thường của nước biển', 'D': 'Là một cơn bão lớn'}",B,Là một hiện tượng thời tiết bình thường,"Là sự nóng lên dị thường của lớp nước biển bề mặt ở khu vực xích đạo trung và đông Thái Bình Dương, gây ra những thay đổi lớn về thời tiết toàn cầu.",Là sự lạnh đi dị thường của nước biển,Là một cơn bão lớn,A,0
086,Đất ngập nước (wetlands) có vai trò quan trọng như thế nào?,"{'A': 'Lọc nước tự nhiên', 'B': 'Là môi trường sống của nhiều loài động thực vật', 'C': 'Giúp kiểm soát lũ lụt', 'D': 'Tất cả các đáp án trên'}",D,Lọc nước tự nhiên,Là môi trường sống của nhiều loài động thực vật,Giúp kiểm soát lũ lụt,Tất cả các đáp án trên,A,0
087,Tại sao việc bảo vệ các rạn san hô lại quan trọng?,"{'A': 'Chúng là nơi có đa dạng sinh học cao nhất trong các hệ sinh thái biển', 'B': 'Bảo vệ đường bờ biển khỏi bị xói mòn do sóng', 'C': 'Là nguồn lợi kinh tế từ du lịch và thủy sản', 'D': 'Tất cả các đáp án trên'}",D,Chúng là nơi có đa dạng sinh học cao nhất trong các hệ sinh thái biển,Bảo vệ đường bờ biển khỏi bị xói mòn do sóng,Là nguồn lợi kinh tế từ du lịch và thủy sản,Tất cả các đáp án trên,D,1
088,Công nghệ xanh (green technology) là gì?,"{'A': 'Bất kỳ công nghệ nào có màu xanh', 'B': 'Là việc sử dụng khoa học và công nghệ để tạo ra các sản phẩm và dịch vụ thân thiện với môi trường.', 'C': 'Công nghệ chỉ được sử dụng trong nông nghiệp', 'D': 'Công nghệ lạc hậu'}",B,Bất kỳ công nghệ nào có màu xanh,Là việc sử dụng khoa học và công nghệ để tạo ra các sản phẩm và dịch vụ thân thiện với môi trường.,Công nghệ chỉ được sử dụng trong nông nghiệp,Công nghệ lạc hậu,D,0
089,"Để ứng phó với biến đổi khí hậu, chúng ta cần thực hiện những hành động nào?","{'A': 'Giảm thiểu phát thải khí nhà kính (mitigation)', 'B': 'Thích ứng với những tác động không thể tránh khỏi của biến đổi khí hậu (adaptation)', 'C': 'Cả hai hành động trên', 'D': 'Không cần làm gì cả'}",C,Giảm thiểu phát thải khí nhà kính (mitigation),Thích ứng với những tác động không thể tránh khỏi của biến đổi khí hậu (adaptation),Cả hai hành động trên,Không cần làm gì cả,B,0
090,Loại hình canh tác nào có thể gây xói mòn đất nghiêm trọng nhất?,"{'A': 'Trồng cây theo đường đồng mức', 'B': 'Làm ruộng bậc thang', 'C': 'Canh tác trên đất dốc mà không có biện pháp bảo vệ. [40]', 'D': 'Nông lâm kết hợp'}",C,Trồng cây theo đường đồng mức,Làm ruộng bậc thang,Canh tác trên đất dốc mà không có biện pháp bảo vệ. [40],Nông lâm kết hợp,C,1
091,Chất thải y tế lây nhiễm cần được xử lý như thế nào?,"{'A': 'Vứt chung với rác thải sinh hoạt', 'B': 'Phải được thu gom, xử lý theo quy trình đặc biệt nghiêm ngặt để tránh lây lan mầm bệnh. [49]', 'C': 'Tái chế thành đồ dùng khác', 'D': 'Đổ xuống cống rãnh'}",B,Vứt chung với rác thải sinh hoạt,"Phải được thu gom, xử lý theo quy trình đặc biệt nghiêm ngặt để tránh lây lan mầm bệnh. [49]",Tái chế thành đồ dùng khác,Đổ xuống cống rãnh,B,1
092,Việc khai thác quá mức tài nguyên nước ngầm có thể dẫn đến hậu quả gì?,"{'A': 'Hạ thấp mực nước ngầm, gây cạn kiệt nguồn nước', 'B': 'Gây sụt lún mặt đất', 'C': 'Gây nhiễm mặn ở các vùng ven biển', 'D': 'Tất cả các đáp án trên'}",D,"Hạ thấp mực nước ngầm, gây cạn kiệt nguồn nước",Gây sụt lún mặt đất,Gây nhiễm mặn ở các vùng ven biển,Tất cả các đáp án trên,A,0
093,Một trong ba trụ cột chính của phát triển bền vững là gì?,"{'A': 'Chỉ có kinh tế', 'B': 'Kinh tế, Xã hội và Môi trường. [19]', 'C': 'Chỉ có môi trường', 'D': 'Công nghệ'}",B,Chỉ có kinh tế,"Kinh tế, Xã hội và Môi trường. [19]",Chỉ có môi trường,Công nghệ,C,0
094,Sự cố nhà máy điện hạt nhân Chernobyl và Fukushima là những ví dụ thảm khốc về loại ô nhiễm nào?,"{'A': 'Ô nhiễm không khí', 'B': 'Ô nhiễm phóng xạ. [24]', 'C': 'Ô nhiễm nước', 'D': 'Ô nhiễm tiếng ồn'}",B,Ô nhiễm không khí,Ô nhiễm phóng xạ. [24],Ô nhiễm nước,Ô nhiễm tiếng ồn,A,0
095,"Hoạt động ""tái sử dụng"" (reuse) khác với ""tái chế"" (recycle) như thế nào?","{'A': 'Tái sử dụng là dùng lại một sản phẩm cho cùng mục đích hoặc mục đích khác mà không cần qua xử lý, chế biến phức tạp.', 'B': 'Tái chế là quá trình xử lý vật liệu đã qua sử dụng để tạo ra sản phẩm mới', 'C': 'Cả A và B đều đúng', 'D': 'Không có sự khác biệt'}",C,"Tái sử dụng là dùng lại một sản phẩm cho cùng mục đích hoặc mục đích khác mà không cần qua xử lý, chế biến phức tạp.",Tái chế là quá trình xử lý vật liệu đã qua sử dụng để tạo ra sản phẩm mới,Cả A và B đều đúng,Không có sự khác biệt,A,0
096,Thực phẩm địa phương (local food) có lợi ích gì về mặt môi trường?,"{'A': 'Giảm lượng khí thải carbon do vận chuyển đường dài', 'B': 'Thường tươi ngon hơn', 'C': 'Hỗ trợ kinh tế địa phương', 'D': 'Tất cả các đáp án trên'}",D,Giảm lượng khí thải carbon do vận chuyển đường dài,Thường tươi ngon hơn,Hỗ trợ kinh tế địa phương,Tất cả các đáp án trên,C,0
097,Đâu là một ví dụ về tài nguyên thiên nhiên vĩnh cửu?,"{'A': 'Khoáng sản', 'B': 'Rừng', 'C': 'Năng lượng mặt trời. [33]', 'D': 'Nước ngọt'}",C,Khoáng sản,Rừng,Năng lượng mặt trời. [33],Nước ngọt,C,1
098,Vai trò của giáo dục môi trường trong các trường học là gì?,"{'A': 'Nâng cao nhận thức, kiến thức và kỹ năng về môi trường cho học sinh', 'B': 'Hình thành thái độ và hành vi sống thân thiện với môi trường', 'C': 'Tạo ra một thế hệ công dân có trách nhiệm với môi trường', 'D': 'Tất cả các đáp án trên'}",D,"Nâng cao nhận thức, kiến thức và kỹ năng về môi trường cho học sinh",Hình thành thái độ và hành vi sống thân thiện với môi trường,Tạo ra một thế hệ công dân có trách nhiệm với môi trường,Tất cả các đáp án trên,C,0
099,Hiệu ứng đảo nhiệt đô thị (urban heat island effect) là hiện tượng gì?,"{'A': 'Nhiệt độ ở khu vực nông thôn cao hơn thành thị', 'B': 'Nhiệt độ ở khu vực đô thị cao hơn đáng kể so với các khu vực nông thôn xung quanh. [50]', 'C': 'Nhiệt độ ở các hòn đảo cao hơn đất liền', 'D': 'Nhiệt độ không có sự khác biệt giữa các khu vực'}",B,Nhiệt độ ở khu vực nông thôn cao hơn thành thị,Nhiệt độ ở khu vực đô thị cao hơn đáng kể so với các khu vực nông thôn xung quanh. [50],Nhiệt độ ở các hòn đảo cao hơn đất liền,Nhiệt độ không có sự khác biệt giữa các khu vực,D,0
100,Trách nhiệm bảo vệ môi trường là của ai?,"{'A': 'Chỉ của chính phủ và các tổ chức môi trường', 'B': 'Chỉ của các doanh nghiệp', 'C': 'Của mọi cơ quan, tổ chức, hộ gia đình và cá nhân. [32]', 'D': 'Chỉ của các nhà khoa học'}",C,Chỉ của chính phủ và các tổ chức môi trường,Chỉ của các doanh nghiệp,"Của mọi cơ quan, tổ chức, hộ gia đình và cá nhân. [32]",Chỉ của các nhà khoa học,A,0
VH001,"Nền văn minh nào được coi là một trong những nền văn minh sớm nhất của nhân loại, nằm ở lưu vực sông Lưỡng Hà?","{'A': 'Ai Cập', 'B': 'Sumer', 'C': 'Ấn Độ', 'D': 'Trung Hoa'}",B,Ai Cập,Sumer,Ấn Độ,Trung Hoa,D,0
VH002,"Vạn Lý Trường Thành, một trong những công trình kiến trúc vĩ đại nhất thế giới, được xây dựng chủ yếu dưới triều đại nào của Trung Quốc?","{'A': 'Nhà Hán', 'B': 'Nhà Đường', 'C': 'Nhà Tần', 'D': 'Nhà Minh'}",D,Nhà Hán,Nhà Đường,Nhà Tần,Nhà Minh,B,0
VH003,"Kim tự tháp Giza, một trong Bảy kỳ quan thế giới cổ đại, được xây dựng với mục đích chính là gì?","{'A': 'Cung điện cho vua', 'B': 'Lăng mộ cho các pharaoh', 'C': 'Đài quan sát thiên văn', 'D': 'Nơi thờ cúng các vị thần'}",B,Cung điện cho vua,Lăng mộ cho các pharaoh,Đài quan sát thiên văn,Nơi thờ cúng các vị thần,A,0
VH004,"Tác phẩm ""Sử thi Iliad và Odyssey"" được cho là của nhà thơ mù nào của Hy Lạp cổ đại?","{'A': 'Socrates', 'B': 'Plato', 'C': 'Aristotle', 'D': 'Homer'}",D,Socrates,Plato,Aristotle,Homer,B,0
VH005,Phật giáo có nguồn gốc từ quốc gia nào?,"{'A': 'Trung Quốc', 'B': 'Ấn Độ', 'C': 'Thái Lan', 'D': 'Nhật Bản'}",B,Trung Quốc,Ấn Độ,Thái Lan,Nhật Bản,A,0
VH006,Lễ hội nào của người Việt Nam được tổ chức vào ngày mùng 10 tháng 3 Âm lịch hàng năm để tưởng nhớ các vua Hùng?,"{'A': 'Tết Nguyên Đán', 'B': 'Lễ hội Chùa Hương', 'C': 'Giỗ Tổ Hùng Vương', 'D': 'Lễ hội Gióng'}",C,Tết Nguyên Đán,Lễ hội Chùa Hương,Giỗ Tổ Hùng Vương,Lễ hội Gióng,C,1
VH007,Điệu múa truyền thống nào của Nhật Bản được biểu diễn bởi các nghệ sĩ trang điểm đậm và mặc trang phục lộng lẫy?,"{'A': 'Kabuki', 'B': 'Noh', 'C': 'Bunraku', 'D': 'Odori'}",A,Kabuki,Noh,Bunraku,Odori,D,0
VH008,"Nghệ thuật Phục hưng, một phong trào văn hóa lớn, khởi nguồn từ thành phố nào của Ý?","{'A': 'Rome', 'B': 'Venice', 'C': 'Florence', 'D': 'Milan'}",C,Rome,Venice,Florence,Milan,B,0
VH009,Tôn giáo chính của Đế chế La Mã trước khi Cơ đốc giáo được chấp nhận là gì?,"{'A': 'Đa thần giáo Hy Lạp', 'B': 'Đa thần giáo La Mã', 'C': 'Do Thái giáo', 'D': 'Hỏa giáo'}",B,Đa thần giáo Hy Lạp,Đa thần giáo La Mã,Do Thái giáo,Hỏa giáo,B,1
VH010,Nhạc cụ nào được coi là biểu tượng của văn hóa Ireland?,"{'A': 'Kèn túi', 'B': 'Đàn hạc', 'C': 'Vĩ cầm', 'D': 'Sáo'}",B,Kèn túi,Đàn hạc,Vĩ cầm,Sáo,B,1
VH011,Di sản văn hóa thế giới được UNESCO công nhận đầu tiên của Việt Nam là gì?,"{'A': 'Vịnh Hạ Long', 'B': 'Quần thể di tích Cố đô Huế', 'C': 'Phố cổ Hội An', 'D': 'Thánh địa Mỹ Sơn'}",B,Vịnh Hạ Long,Quần thể di tích Cố đô Huế,Phố cổ Hội An,Thánh địa Mỹ Sơn,B,1
VH012,Vũ điệu Samba sôi động có nguồn gốc từ quốc gia nào?,"{'A': 'Argentina', 'B': 'Colombia', 'C': 'Brazil', 'D': 'Mexico'}",C,Argentina,Colombia,Brazil,Mexico,C,1
VH013,Hệ thống chữ viết tượng hình của người Ai Cập cổ đại được gọi là gì?,"{'A': 'Chữ hình nêm', 'B': 'Chữ tượng hình', 'C': 'Bảng chữ cái Phoenicia', 'D': 'Chữ rune'}",B,Chữ hình nêm,Chữ tượng hình,Bảng chữ cái Phoenicia,Chữ rune,B,1
VH014,"Lễ hội ném cà chua ""La Tomatina"" nổi tiếng được tổ chức hàng năm ở quốc gia nào?","{'A': 'Ý', 'B': 'Bồ Đào Nha', 'C': 'Tây Ban Nha', 'D': 'Hy Lạp'}",C,Ý,Bồ Đào Nha,Tây Ban Nha,Hy Lạp,B,0
VH015,"Trong thần thoại Hy Lạp, vị thần nào là vua của các vị thần trên đỉnh Olympus?","{'A': 'Apollo', 'B': 'Poseidon', 'C': 'Hades', 'D': 'Zeus'}",D,Apollo,Poseidon,Hades,Zeus,A,0
VH016,"Áo dài, trang phục truyền thống của phụ nữ Việt Nam, thường được mặc trong những dịp nào?","{'A': 'Chỉ trong lễ cưới', 'B': 'Chỉ trong các lễ hội', 'C': 'Trong các dịp lễ, tết, sự kiện quan trọng', 'D': 'Chỉ khi đi làm'}",C,Chỉ trong lễ cưới,Chỉ trong các lễ hội,"Trong các dịp lễ, tết, sự kiện quan trọng",Chỉ khi đi làm,C,1
VH017,"Thành phố cổ Machu Picchu, di tích của đế chế Inca, nằm ở quốc gia nào hiện nay?","{'A': 'Peru', 'B': 'Bolivia', 'C': 'Ecuador', 'D': 'Chile'}",A,Peru,Bolivia,Ecuador,Chile,A,1
VH018,Bộ môn nghệ thuật nào của Nga nổi tiếng với những vũ công múa ba lê điêu luyện?,"{'A': 'Opera', 'B': 'Ballet', 'C': 'Nhạc kịch', 'D': 'Múa dân gian'}",B,Opera,Ballet,Nhạc kịch,Múa dân gian,D,0
VH019,Kinh Qur'an là kinh sách thiêng liêng của tôn giáo nào?,"{'A': 'Cơ đốc giáo', 'B': 'Do Thái giáo', 'C': 'Hồi giáo', 'D': 'Phật giáo'}",C,Cơ đốc giáo,Do Thái giáo,Hồi giáo,Phật giáo,D,0
VH020,Lễ hội té nước Songkran là lễ hội mừng năm mới truyền thống của quốc gia nào?,"{'A': 'Việt Nam', 'B': 'Lào', 'C': 'Campuchia', 'D': 'Thái Lan'}",D,Việt Nam,Lào,Campuchia,Thái Lan,A,0
VH021,"Nhà hát Opera Sydney, với kiến trúc hình vỏ sò độc đáo, là biểu tượng của thành phố nào?","{'A': 'Melbourne', 'B': 'Sydney', 'C': 'Canberra', 'D': 'Brisbane'}",B,Melbourne,Sydney,Canberra,Brisbane,B,1
VH022,"Tác phẩm ""Mona Lisa"" của danh họa Leonardo da Vinci hiện đang được trưng bày tại bảo tàng nào?","{'A': 'Bảo tàng Anh', 'B': 'Bảo tàng Vatican', 'C': 'Bảo tàng Louvre', 'D': 'Bảo tàng Prado'}",C,Bảo tàng Anh,Bảo tàng Vatican,Bảo tàng Louvre,Bảo tàng Prado,C,1
VH023,"Văn hóa Đông Sơn, nổi tiếng với trống đồng, là một nền văn hóa cổ của dân tộc nào?","{'A': 'Người Chăm', 'B': 'Người Khmer', 'C': 'Người Việt cổ', 'D': 'Người Thái'}",C,Người Chăm,Người Khmer,Người Việt cổ,Người Thái,C,1
VH024,Môn võ nào được coi là quốc võ của Hàn Quốc?,"{'A': 'Judo', 'B': 'Karate', 'C': 'Taekwondo', 'D': 'Aikido'}",C,Judo,Karate,Taekwondo,Aikido,C,1
VH025,Kiến trúc Gô-tích (Gothic) nổi bật với đặc điểm nào?,"{'A': 'Mái vòm tròn và tường dày', 'B': 'Cột Doric, Ionic và Corinthian', 'C': 'Mái vòm nhọn, vòm có sườn và cửa sổ kính màu lớn', 'D': 'Các chi tiết trang trí tối giản và đường nét thẳng'}",C,Mái vòm tròn và tường dày,"Cột Doric, Ionic và Corinthian","Mái vòm nhọn, vòm có sườn và cửa sổ kính màu lớn",Các chi tiết trang trí tối giản và đường nét thẳng,D,0
